id,z_2017_1055Sites,zbar_2017_1055Sites,x_2017_1055Sites,gamma_1055Sites,theta_1055Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,siteArea_ha_1055Sites,amazonBiomeArea_ha_1055Sites,forestArea_2017_ha_1055Sites,otherArea_2017_ha_1055Sites,forestArea_1995_ha_1055Sites,otherArea_1995_ha_1055Sites,z_1995_1055Sites,zbar_1995_1055Sites,gamma2010_1055Sites,gamma2017_1055Sites,gamma2018_1055Sites,gammaSD_1055Sites,alpha_1055Sites,kappa_1055Sites,zeta_1055Sites,zeta_alt_1055Sites,theta2017_1055Sites,theta2006_1055Sites,thetaSD_1055Sites,p_2017_1055Sites
1,38.92411804,6637.497447,3200644.103,485.0509259,0.638332407,0,0,815.6575925,450923,37748.82375,6598.573329,31275.66445,6395.936334,31486.49519,31.79842066,6427.734755,438.4166667,516.2361111,500.5,33.59535584,0.045007414,2.094215255,0.00016616,0.00020579,0.910547175,0.36611764,0.272214768,44.75876047
2,1521.959759,191434.0668,103935244.6,547.280772,1.074291313,0,0,8555.888159,450923,400531.411,189912.107,209349.0517,185404.4805,211219.4563,4159.09093,189563.5715,531.9064922,557.4018199,552.5340038,11.05140313,0.045007414,2.094215255,0.00016616,0.00020579,2.140703283,0.007879343,1.06641197,44.75876047
3,43.46674909,12264.57133,6696712.677,547.962963,1.075995906,0,1,252.481607,450923,15327.28407,12221.10458,3159.979269,12181.5566,3109.030566,139.1292303,12320.68583,587.0526316,512.9473684,543.8888889,30.39019652,0.045007414,2.094215255,0.00016616,0.00020579,2.147493463,0.00449835,1.071497557,44.75876047
4,28.3484561,66791.55022,38634004.25,578.6721311,0.009565399,1,1,5526.000357,451302.0938,66665.23305,66763.20176,140.4942355,66886.67139,22.46481473,22.91054626,66909.58194,563.003643,586.0555556,586.9571949,11.0854072,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
5,10.43009308,11699.80023,7023447.02,600.8405018,0.009565399,1,1,1159.801538,451302.0938,11767.01697,11689.37014,124.7153805,11809.09398,9.003755481,6.596810987,11815.69079,544.1451613,624.4569892,633.9193548,40.27534661,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
6,0.713168748,8153.747743,4968500.79,609.4050926,0.009565399,1,1,674.9281584,451302.0938,8100.972725,8153.034574,0,8152.231786,1.515483597,0,8152.231786,597.6666667,606.0694444,624.4791667,11.19739406,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
7,6.775103187,62601.06121,35211829.97,562.5406433,0.009565399,1,1,5397.20527,451302.0938,62406.27737,62594.28611,2.941821094,62581.89207,11.49984628,10.96496927,62592.85704,521.7184211,585.6631579,580.2403509,28.95044132,0.045007414,2.094215255,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.75876047
8,2111.157674,181049.6499,99107235.38,553.8620236,0.044098577,0,0,14889.38756,451302.0938,204889.898,178938.4922,24104.65729,180359.4823,24281.34461,512.233458,180871.7158,514.6433727,574.1899149,572.7527832,27.73797963,0.045007414,2.094215255,0.00016616,0.00020579,0.060527446,0.027669709,0.016428869,44.75876047
9,14752.87537,110119.8473,46364073.75,486.1648936,0.541438243,0,0,8496.112527,451302.0938,397333.5734,95366.97191,287353.9576,99618.70502,288096.3624,9758.465891,109377.1709,476.8129433,490.7969858,490.8847518,6.612924582,0.045007414,2.094215255,0.00016616,0.00020579,0.690539608,0.392336877,0.149101365,44.75876047
10,1955.330438,17351.66347,5928578.624,385.0643275,0.789072707,0,0,9872.858424,451302.0938,435572.7895,15396.33303,418316.174,16434.70688,418020.7346,1212.297756,17647.00464,431.3157895,360.2017544,363.6754386,32.735454,0.045007414,2.094215255,0.00016616,0.00020579,1.545220225,0.032925189,0.756147518,44.75876047
