id,z_2017_10Sites,zbar_2017_10Sites,x_2017_10Sites,gamma_10Sites,theta_10Sites,d_theta_winsorized_2017,pasture_area_2017,amazonBiomeArea_ha_10Sites,siteArea_ha_10Sites,forestArea_1995_ha_10Sites,z_1995_10Sites,zbar_1995_10Sites,forestArea_2017_ha_10Sites,forestArea_2008_ha_10Sites,z_2008_10Sites,zbar_2008_10Sites,gamma2017_10Sites,alpha_10Sites,kappa_10Sites,zeta_10Sites,zeta_alt_10Sites,x_1995_10Sites,x_2008_10Sites,theta2017_10Sites,p_2017_10Sites,gamma_cons,gamma_log_precip,gamma_log_temp,gamma_loglat,gamma_loglon,gamma_sd_cons,gamma_sd_log_precip,gamma_sd_log_temp,gamma_sd_loglat,gamma_sd_loglon,theta_cons,theta_precip,theta_temp,theta_temp2,theta_lat,theta_lat2,theta_gateprice,theta_distance,theta_sd_cons,theta_sd_precip,theta_sd_temp,theta_sd_temp2,theta_sd_lat,theta_sd_lat2,theta_sd_gateprice,theta_sd_distance
1,41787.87548,23562101.24,12554110906,533.7561074,0.667278928,0,2696.24193,24189838.28,88612747.13,23539387.98,39224.55423,23578612.53,23520313.37,23551648.21,21711.10524,23573359.32,533.7561074,0.045007414,2.094215255,1.66E-04,2.06E-04,12564292097,12570836072,0.667278928,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
2,1174237.126,56045087.89,29906415087,545.0328302,0.728664825,0,1316101.139,63902673.67,88612747.13,55630226.81,516915.8777,56147142.69,54870850.76,55195509.15,913547.8719,56109057.02,545.0328302,0.045007414,2.094215255,1.66E-04,2.06E-04,30320299963,30083364568,0.728664825,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
3,2476785.794,47648596.24,28782290040,637.1737098,0.6591028,0,2220698.176,55859552.9,88612747.13,46259943.8,1443885.279,47703829.08,45171810.44,45510604.91,2106517.82,47617122.73,637.1737098,0.045007414,2.094215255,1.66E-04,2.06E-04,29475620009,28998160969,0.6591028,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
4,4219817.698,9881181.17,2318998724,409.6184135,1.128763636,0,1588762.8,11717420.18,56965337.44,7335008.998,2641390.266,9976399.264,5661363.472,5948665.778,3955886.683,9904552.461,409.6184135,0.045007414,2.094215255,1.66E-04,2.06E-04,3004554749,2436683038,1.128763636,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
5,2753023.195,61208846.63,41563148926,711.018107,1.574578879,0,1872726.35,61685760.39,87895283,60083372.84,1186190.719,61269563.56,58455823.44,58949751.35,2294065.438,61243816.79,711.018107,0.045007414,2.094215255,1.66E-04,2.06E-04,42720366023,41914340615,1.574578879,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
6,9842515.325,83864033.19,43479779003,587.3937776,1.541613847,0,7114850.391,87477254.99,87895283,80030631.77,4120439.313,84151071.08,74021517.86,75486147.62,8478687.668,83964835.29,587.3937776,0.045007414,2.094215255,1.66E-04,2.06E-04,47009495119,44340093410,1.541613847,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
7,21000792.5,76930947.14,32170452331,575.1897619,1.542907748,0,16893739.4,78964026.09,87895283,66816622.72,10298065.87,77114688.59,55930154.64,57615970.92,19458745.49,77074716.41,575.1897619,0.045007414,2.094215255,1.66E-04,2.06E-04,38432237316,33140116597,1.542907748,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
8,5429275.065,9784581.493,1976212254,453.7481545,1.878091008,0,4020279.663,10100935.5,56504110.5,5963853.232,3888619.979,9852473.211,4355306.428,4486477.649,5336252.953,9822730.602,453.7481545,0.045007414,2.094215255,1.66E-04,2.06E-04,2706087398,2035730953,1.878091008,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
9,6472872.432,15082898.94,3695975630,429.2641408,2.10852539,0,7005359.51,16939410.57,55249654.69,11067113.77,3948660.976,15015774.74,8610026.507,8659743.522,6710116.008,15369859.53,429.2641408,0.045007414,2.094215255,1.66E-04,2.06E-04,4750715082,3717317362,2.10852539,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
10,3868310.706,10348355.48,2309088500,356.3383558,2.665287621,0,2324059.251,10707254.95,55249654.69,8987486.538,1301878.823,10289365.36,6480044.773,6836589.375,3532070.778,10368660.15,356.3383558,0.045007414,2.094215255,1.66E-04,2.06E-04,3202586176,2436139017,2.665287621,44.75876047,-8.709116,0.43593669,-4.5552974,3.2005341,-1.6352241,8.60818,0.17389376,1.1246982,0.72163039,0.17246741,-115.55433,-0.83252901,116.0834,-60.928226,128.78113,-66.113007,2.6238074,-0.16535774,31.427599,0.29784825,64.387024,32.670147,22.213015,11.354927,0.23425755,0.071487427
