id,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,gamma_25Sites,theta_25Sites,gammaSD_25Sites,thetaSD_25Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,amazonbiomearea_ha_25Sites,sitearea_ha_25Sites,forestArea_1995_ha_25Sites,z_1995_25Sites,zbar_1995_25Sites,forestArea_2017_ha_25Sites,gamma2010_25Sites,gamma2017_25Sites,gamma2018_25Sites,alpha_25Sites,kappa_25Sites,zeta_25Sites,zeta_alt_25Sites,theta2017_25Sites,theta2006_25Sites,p_2017_25Sites
1,577.09296,827842.69,429227968,518.8515,0.009565399,18.49684843,0.00506705,1,1,0.21894614,835019.25,28921922,827007.38,844.80933,827852.13,827265.56,492.7009,532.48285,531.37079,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,44.758762
2,5589.1851,5923957.5,2885460480,487.54324,0.009571445,11.12660211,0.005073096,0,0,15890.103,5983816,28921922,5915978,5418.6763,5921396.5,5918368.5,471.85538,496.4455,494.32886,0.045007415,2.0942152,0.00016616,0.00020579,0.014644541,0.00449835,44.758762
3,787674.06,16269304,8325131264,537.74255,0.14553405,17.43152435,0.01281481,0,0,1019451.9,21167120,28921922,16035739,271019.06,16306758,15481630,513.1297,551.24976,548.84827,0.045007415,2.0942152,0.00016616,0.00020579,0.13271925,0.15834887,44.758762
4,9646.8613,8317106,5082112512,611.75293,1.2220862,27.19694632,0.0610195,0,0,116488.11,8842695,28921922,8300092.5,10191.917,8310284,8307459,573.29694,631.5838,630.37805,0.045007415,2.0942152,0.00016616,0.00020579,1.1610667,1.2831057,44.758762
5,128634.5,11492722,7933747200,698.14203,1.4383827,26.70711635,0.2568837,0,0,453165.28,13137914,28921922,11344708,84274.648,11428983,11364088,660.67554,721.0108,712.73969,0.045007415,2.0942152,0.00016616,0.00020579,1.6952664,1.181499,44.758762
6,16248.653,3641993,2157656832,595.09344,0.41019621,16.83259091,0.361967576,0,0,571.55432,3741019.3,28939360,3630264.8,16582.061,3646846.8,3625744.5,571.29053,607.25824,606.73163,0.045007415,2.0942152,0.00016616,0.00020579,0.048228659,0.77216381,44.758762
7,77127.063,27941872,15084226560,541.33734,0.60331953,8.425319633,0.469490375,0,0,5451.498,28939360,28939360,27921954,61927.125,27983880,27864744,529.62433,549.08667,545.30109,0.045007415,2.0942152,0.00016616,0.00020579,0.13382915,1.0728099,44.758762
8,413615.38,26031526,12861932544,502.06796,1.1298287,6.332435369,0.431502135,0,0,174329.31,28939360,28939360,26051630,188282.22,26239912,25617910,493.1572,507.29691,505.74976,0.045007415,2.0942152,0.00016616,0.00020579,0.69832653,1.5613308,44.758762
9,1415637.3,26494124,14745302016,587.96619,1.6803092,12.21074605,0.28644555,0,0,784071.56,28939360,28939360,25596088,937833.44,26533920,25078486,570.74664,597.70221,595.44977,0.045007415,2.0942152,0.00016616,0.00020579,1.3938637,1.9667548,44.758762
10,2975490.5,25883434,14331430912,625.60968,1.955358,14.00796309,0.2056988,0,0,2182829.3,28922502,28939360,24831588,1156831.1,25988420,22907944,605.88214,637.03955,633.90735,0.045007415,2.0942152,0.00016616,0.00020579,1.7496592,2.1610568,44.758762
