id,z_2017_41Sites,zbar_2017_41Sites,x_2017_41Sites,gamma_41Sites,theta_41Sites,gammaSD_41Sites,thetaSD_41Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,amazonbiomearea_ha_41Sites,sitearea_ha_41Sites,forestarea_1995_ha_41Sites,z_1995_41Sites,zbar_1995_41Sites,forestArea_2017_ha_41Sites,gamma2010_41Sites,gamma2017_41Sites,gamma2018_41Sites,alpha_41Sites,kappa_41Sites,zeta_41Sites,zeta_alt_41Sites,theta2017_41Sites,theta2006_41Sites,p_2017_41Sites
1,250.80078,668418.56,342718528,512.92285,0.009565399,11.58840648,0.00506705,1,1,0.18121262,670898.19,16261437,665617.44,1329.2352,666946.69,668167.81,496.80161,523.53613,518.43079,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,44.758762
2,3534.5681,2779483,1622881664,584.62244,0.047016338,24.15500019,0.003483406,0,0,144342.11,2797514.5,16261437,2776484.3,12701.091,2789185.5,2775948.5,550.46216,601.76337,601.64172,0.045007415,2.0942152,0.00016616,0.00020579,0.050499741,0.04353293,44.758762
3,564439.13,7456860.5,3843503616,557.64203,0.094207227,20.6924109,0.013511221,0,0,789529.81,11329567,16261437,7221907.5,202853.61,7424761,6892421,528.41174,573.46405,571.05029,0.045007415,2.0942152,0.00016616,0.00020579,0.10771845,0.080696009,44.758762
4,650.64069,630703.63,390519840,619.82056,1.0754142,36.45830319,0.0672108,0,0,6106.9312,780417.75,16261437,630035.44,1053.5984,631089.06,630053,568.29114,644.05243,647.11816,0.045007415,2.0942152,0.00016616,0.00020579,1.0082034,1.142625,44.758762
5,968.82007,3338123.3,2315024640,693.71216,1.34535,34.03128289,0.04821345,0,0,17462.961,3486282.3,16261437,3334601.5,2950.4436,3337552,3337154.5,645.80774,721.67279,713.65594,0.045007415,2.0942152,0.00016616,0.00020579,1.3935634,1.2971365,44.758762
6,27535.746,3247777,2224266752,690.71429,1.4326044,22.15533815,0.34057755,0,0,120157.01,3994888,16261437,3248474.8,23208.418,3271683.3,3220241.3,659.75714,710.37952,702.00635,0.045007415,2.0942152,0.00016616,0.00020579,1.7731819,1.0920268,44.758762
7,4716.2988,12789009,6410439168,501.43088,0.009565399,9.859370014,0.00506705,1,1,47.521446,13016293,16290100,12786345,6718.8247,12793064,12784293,487.59445,509.84109,506.85703,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,44.758762
8,22055.502,13615219,6930725888,509.8685,0.44920814,9.66290273,0.412870584,0,0,199.82759,14471944,16290100,13663071,16455.725,13679527,13593163,496.23251,517.46289,515.91003,0.045007415,2.0942152,0.00016616,0.00020579,0.036337562,0.86207873,44.758762
9,300211.19,14176078,6975335936,502.69553,0.57748979,9.502850797,0.215828195,0,0,170935.27,16288855,16290100,14144168,77706.344,14221874,13875866,489.31326,510.4556,508.31769,0.045007415,2.0942152,0.00016616,0.00020579,0.36166164,0.79331803,44.758762
10,99294.641,15433470,9225915392,601.6571,1.129999,20.04772993,0.199990075,0,0,146188.8,15870110,16290100,15353397,79640.008,15433037,15334175,573.328,616.80371,614.83954,0.045007415,2.0942152,0.00016616,0.00020579,0.93000895,1.3299891,44.758762
11,641899.5,15345830,9325916160,634.24646,1.6856867,25.5088211,0.1031615,0,0,418942.38,16290100,16290100,14948658,403323.09,15351981,14703931,598.28271,654.67914,649.77753,0.045007415,2.0942152,0.00016616,0.00020579,1.5825253,1.7888483,44.758762
12,250060.17,9283388,5106076160,565.24866,1.4265051,3.233273655,0.12640425,0,0,869679.5,13447583,16290100,9043587,151169.28,9194756,9033328,561.98053,569.65228,564.11304,0.045007415,2.0942152,0.00016616,0.00020579,1.5529094,1.3001009,44.758762
13,1721312.1,3969407,774304640,344.42703,1.8543493,6.468469217,0.18565355,0,0,684581.63,4887718.5,16290100,2917582.8,1077587.4,3995170,2248095,353.09686,337.56485,342.61932,0.045007415,2.0942152,0.00016616,0.00020579,2.0400028,1.6686957,44.758762
14,10958.065,82976.367,14696350,204.0641,1.5923017,9.896691992,0.3668398,0,0,370.6441,155559.48,8145050,69456.633,14247.924,83704.555,72018.297,217.26007,193.42674,201.50549,0.045007415,2.0942152,0.00016616,0.00020579,1.9591416,1.225462,44.758762
15,2009.1044,3408237.8,2393841920,702.78369,0.12239263,20.64392293,0.04866202,0,0,38.534695,3431766.5,16254849,3408717,1536.3292,3410253.5,3406228.8,673.59387,716.90527,717.85187,0.045007415,2.0942152,0.00016616,0.00020579,0.17105465,0.07373061,44.758762
16,54520.063,14216603,8568247296,605.01318,0.63951808,13.94888077,0.46798984,0,0,6548.8335,14559182,16254849,14196405,44245.336,14240651,14162083,585.67505,618.05621,611.30841,0.045007415,2.0942152,0.00016616,0.00020579,0.17152822,1.1075079,44.758762
17,49367.598,15582609,8588664832,552.92157,0.70148087,7.118411983,0.37510273,0,0,5646.1328,16254849,16254849,15591172,52679.121,15643851,15533242,542.95404,559.12762,556.68304,0.045007415,2.0942152,0.00016616,0.00020579,0.32637814,1.0765836,44.758762
18,352615.38,15008209,7486487040,510.82797,1.4472508,4.131660366,0.49339682,0,0,134947.39,16254849,16254849,15001055,161906.83,15162962,14655594,505.03168,514.36505,513.08716,0.045007415,2.0942152,0.00016616,0.00020579,0.95385396,1.9406476,44.758762
19,687987.25,14781263,8439746048,598.84918,1.5205191,12.055071,0.3639278,0,0,366421.75,16254849,16254849,14322278,479123.84,14801402,14093275,581.80884,607.82562,606.91296,0.045007415,2.0942152,0.00016616,0.00020579,1.1565914,1.884447,44.758762
20,1556095.6,15108658,8873952256,654.7804,2.0993962,16.1230177,0.2896983,0,0,1331964.4,16254849,16254849,14539223,656759.88,15195983,13552562,631.98077,666.42444,665.93604,0.045007415,2.0942152,0.00016616,0.00020579,1.809698,2.3890946,44.758762
21,4628754.5,15458705,6731417088,621.55566,1.873804,8.700266549,0.2451379,0,0,3204578,16254849,16254849,13623206,1916577.8,15539784,10829950,609.27429,628.34277,627.04993,0.045007415,2.0942152,0.00016616,0.00020579,1.628666,2.1189418,44.758762
22,7056731,13904837,3290260480,480.46283,1.8729408,14.1813831,0.0717265,0,0,3648622,14282524,16254849,9275728,4725280.5,14001008,6848106,500.27606,467.86465,473.2478,0.045007415,2.0942152,0.00016616,0.00020579,1.9446672,1.8012142,44.758762
23,300993.44,903477.31,128364864,213.05942,1.0332452,7.93851844,0.405312485,0,0,289268.22,1654227.5,8127424.5,748664.56,192886.83,941551.38,602483.88,224.23677,208.38196,206.55954,0.045007415,2.0942152,0.00016616,0.00020579,1.4385577,0.62793273,44.758762
24,376492.13,13618844,10078308352,761.06641,1.4006444,24.18113116,0.11575715,0,0,207120.64,13672517,16155793,13457802,172224.7,13630027,13242352,726.89282,779.25604,777.05029,0.045007415,2.0942152,0.00016616,0.00020579,1.2848872,1.5164015,44.758762
25,501972.56,16050793,10895666176,700.73907,1.7871176,16.3646256,0.1286482,0,0,245038.13,16155793,16155793,15895928,170748.31,16066676,15548821,677.70551,714.20331,710.30841,0.045007415,2.0942152,0.00016616,0.00020579,1.6584694,1.9157658,44.758762
26,597713.38,15655700,9124450304,605.95422,1.6194872,9.291175067,0.3220615,0,0,398204.81,16155793,16155793,15450698,221629.67,15672328,15057986,592.81537,612.65302,612.39429,0.045007415,2.0942152,0.00016616,0.00020579,1.2974256,1.9415486,44.758762
27,705355.63,15478777,8702100480,589.0376,2.1927209,8.217284537,0.45982365,0,0,604222.44,16155793,16155793,15383895,95228.797,15479124,14773422,577.43048,595.33319,594.34906,0.045007415,2.0942152,0.00016616,0.00020579,1.7328974,2.6525447,44.758762
28,371144.03,15752106,9447549952,614.23663,1.9521558,14.89394471,0.3761466,0,0,598038.38,16155793,16155793,15699317,54577.016,15753894,15380962,593.1734,624.75531,624.78113,0.045007415,2.0942152,0.00016616,0.00020579,1.5760092,2.3283024,44.758762
29,1554126.4,15841354,8344429056,584.04816,1.3858265,17.48865311,0.3284441,0,0,1331310.1,16155793,16155793,15764675,133692.22,15898367,14287228,559.31641,596.59918,596.22894,0.045007415,2.0942152,0.00016616,0.00020579,1.0573823,1.7142705,44.758762
30,7503364.5,13707566,2863343872,461.51694,2.1440239,7.939003588,0.2340475,0,0,6383380,14210183,16155793,8878792,4861051,13739843,6204201,450.30405,467.61835,466.62842,0.045007415,2.0942152,0.00016616,0.00020579,1.9099765,2.3780715,44.758762
31,559098.31,805065.31,72174944,293.43341,2.2130578,9.611205641,0.0913744,0,0,953838.31,838326.06,16155793,287430.69,520007.75,807438.44,245967.02,307.02222,286.90524,286.37274,0.045007415,2.0942152,0.00016616,0.00020579,2.1216834,2.3044322,44.758762
32,7471.3604,1903753.5,1605809664,846.82007,1.8708489,27.5153319,0.0015724,0,0,40572.215,1906909.1,15993235,1899795.1,4764.2271,1904559.4,1896282.1,807.98315,868.33893,864.13806,0.045007415,2.0942152,0.00016616,0.00020579,1.8692765,1.8724213,44.758762
33,1520541.9,6521153.5,3667072256,733.32471,2.4388554,24.64051447,0.1813092,0,0,1220861.3,6546829.5,15993235,5788288.5,744809.38,6533098,5000612,698.69202,753.98236,747.2998,0.045007415,2.0942152,0.00016616,0.00020579,2.2575462,2.6201646,44.758762
34,2627528.5,8856108,3868842752,621.14362,2.6491659,7.969021801,0.3342967,0,0,1586698.9,9175533,15993235,8281326,587670.75,8868997,6228580,609.91931,627.63263,625.87897,0.045007415,2.0942152,0.00016616,0.00020579,2.3148692,2.9834626,44.758762
35,4986665.5,14717727,5758724096,591.78784,3.0195327,6.709342472,0.0657537,0,0,4406639.5,15139152,15993235,11684024,3101534.8,14785559,9731061,582.30255,596.74231,596.31866,0.045007415,2.0942152,0.00016616,0.00020579,2.953779,3.0852864,44.758762
36,5394735,14049907,4187075328,483.76575,2.591469,1.272120303,0.25417915,0,0,3369623.8,14247477,15993235,12205827,1880131.1,14085958,8655171,482.66455,483.08429,485.5484,0.045007415,2.0942152,0.00016616,0.00020579,2.33729,2.8456483,44.758762
37,4499513.5,15382033,4297559040,394.90479,2.3256001,0.601691385,0.2104646,0,0,2826481.8,15826896,15993235,13260497,2149243,15409740,10882519,395.61636,394.95309,394.1449,0.045007415,2.0942152,0.00016616,0.00020579,2.1151357,2.5360649,44.758762
38,2483766.8,4573449.5,653990144,312.96146,1.9715062,3.686877563,0.1942007,0,0,2310941.3,4696980,15993235,3444154,1113685.6,4557839.5,2089682.8,317.89197,311.96497,309.02747,0.045007415,2.0942152,0.00016616,0.00020579,1.7773055,2.1657069,44.758762
39,1636997.9,3521558.5,726457536,385.47845,2.8517275,3.87718842,0.1470802,0,0,1561934.6,4550722.5,15767678,2522180.3,895334.38,3417514.5,1884560.6,390.75497,384.13153,381.54883,0.045007415,2.0942152,0.00016616,0.00020579,2.9988077,2.7046473,44.758762
40,2771996.5,4781681,663504960,330.15378,2.8253753,6.307033485,0.3341652,0,0,3339076.8,5255896.5,15767678,2630842,2093891.1,4724733,2009684.5,339.00162,326.707,324.75272,0.045007415,2.0942152,0.00016616,0.00020579,3.1595404,2.49121,44.758762
41,830023.38,1915466.9,347570304,320.21042,2.5379238,12.4915185,0.6103251,0,0,1071362.4,1970460.5,15767678,1641391.4,276363.44,1917754.9,1085443.5,337.71121,313.54538,309.37466,0.045007415,2.0942152,0.00016616,0.00020579,3.1482489,1.9275987,44.758762
