id,z_2017_81Sites,zbar_2017_81Sites,x_2017_81Sites,gamma_81Sites,theta_81Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,sitearea_ha_81Sites,amazonbiomearea_ha_81Sites,forestarea_1995_ha_81Sites,otherarea_1995_ha_81Sites,z_1995_81Sites,zbar_1995_81Sites,forestArea_2017_ha_81Sites,otherarea_2017_ha_81Sites,gamma2010_81Sites,gamma2017_81Sites,gamma2018_81Sites,gammaSD_81Sites,alpha_81Sites,kappa_81Sites,zeta_81Sites,zeta_alt_81Sites,theta2017_81Sites,theta2006_81Sites,thetaSD_81Sites,p_2017_81Sites
1,480.29263,177645.28,98466056,555.78735,0.009565399,1,1,15598.557,7223078.5,177988.2,178060.58,225.77727,138.88516,178199.45,177164.98,779.96051,518.72412,576.07623,572.56171,26.24690981,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.758762
2,5713.6289,3205198.8,1887511296,589.94214,0.024842121,0,0,238995.8,7223078.5,3225844.5,3202919,13942.949,9699.9277,3212619,3199485.3,21360.695,549.29901,611.46417,609.06329,28.75575403,0.045007415,2.0942152,0.00016616,0.00020579,0.031889852,0.017794391,0.007047731,44.758762
3,147689.39,1368030.8,656310464,537.8089,0.10131814,0,0,351254.09,7223078.5,4732369,1254592,3401946,77469.734,1332061.8,1220341.4,3365972.3,513.90717,550.13171,549.3877,16.90377623,0.045007415,2.0942152,0.00016616,0.00020579,0.17149647,0.031139804,0.070178333,44.758762
4,36.420811,103470.53,76842456,742.91211,1.2886306,0,0,157.7538,7223078.5,104670.27,103617.38,1104.0503,118.18909,103735.57,103434.11,1369.2617,717.3399,764.65076,746.74561,19.50386757,0.045007415,2.0942152,0.00016616,0.00020579,1.7717488,0.80551255,0.483118125,44.758762
5,9344.4268,1215945.1,778617600,645.29852,1.4139589,0,0,12620.863,7223078.5,1593388.1,1220370.3,363785.94,9644.1758,1230014.5,1206600.6,377872.03,615.28986,660.65796,659.94775,21.22131014,0.045007415,2.0942152,0.00016616,0.00020579,1.7881966,1.0397213,0.37423765,44.758762
6,577.09296,827842.69,429253696,518.88257,0.009565399,1,1,0.21741976,7237883,835019.25,827007.38,8125.834,844.80933,827852.13,827265.56,8132.9858,492.59814,532.58173,531.46783,18.59145874,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.758762
7,1350.812,3933940.3,1827795200,464.78162,0.009565399,1,1,1.0341626,7237883,3983245.5,3929868.5,51359.898,3137.8662,3933006.5,3932589.5,50431.988,452.38297,472.02747,469.93442,8.808711822,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.758762
8,3758.0806,1812372,959471872,530.50122,0.014851242,0,0,18.030067,7237883,1822582.1,1808048.9,13298.874,2141.925,1810190.9,1808613.9,11097.44,510.03769,541.74237,539.72363,14.49335893,0.045007415,2.0942152,0.00016616,0.00020579,0.025204135,0.00449835,0.010352893,44.758762
9,8963.8652,6085750,3299756032,543.01007,0.17601317,0,0,104002.84,7237883,6526321,6115265.5,401373.97,10509.564,6125775,6076786,441399.84,511.15216,559.98822,557.88983,22.5432271,0.045007415,2.0942152,0.00016616,0.00020579,0.08408244,0.26794392,0.09193074,44.758762
10,625307.19,5610324,2455361792,492.54831,0.29143223,0,0,325426.25,7237883,6682586,5462962,1046727.5,173339.83,5636302,4985017,1072712.3,489.2135,495.8089,492.62253,2.693072192,0.045007415,2.0942152,0.00016616,0.00020579,0.18025003,0.40261441,0.11118219,44.758762
11,7103.9355,3419085.3,2086802944,611.61035,0.89034134,0,0,36647.5,7237883,3428926,3417957.5,7838.021,4243.9971,3422201.5,3411981.3,10957.103,578.58368,629.39337,626.85394,23.37636818,0.045007415,2.0942152,0.00016616,0.00020579,0.77464384,1.0060388,0.11569748,44.758762
12,2542.9265,4898021,2995463680,611.88379,1.3622844,0,0,79908.695,7237883,5413769.5,4882135,526986.31,5947.9204,4888083,4895478,517049.34,569.58728,633.15991,632.90424,29.90834532,0.045007415,2.0942152,0.00016616,0.00020579,1.3379924,1.3865764,0.024292,44.758762
13,3581.5642,5746261.5,4072482048,709.16052,1.3317963,0,0,18965.887,7237883,5759354.5,5734673,16729.461,8888.5107,5743561.5,5742680,14021.607,659.32861,738.14624,730.00665,35.39280696,0.045007415,2.0942152,0.00016616,0.00020579,1.4965626,1.1670301,0.16476625,44.758762
14,115672.09,4427045,2994459904,694.54901,1.4435184,0,0,421454.47,7237883,5680500.5,4286047.5,1329552.5,65623.773,4351671,4311373,1254185,675.08826,709.52948,699.02936,14.41305899,0.045007415,2.0942152,0.00016616,0.00020579,1.7013857,1.1856509,0.2578674,44.758762
15,852.1239,1615504.4,911318848,564.40564,0.009565399,1,1,10.230392,7240063,1628863.1,1613067.6,14299.354,2334.6523,1615402.3,1614652.3,14204.772,544.18048,574.47382,574.56262,14.30139373,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.758762
16,2187.0706,7080140.5,3583200768,506.24817,0.009565399,1,1,36.168201,7240063,7240063,7082019,156310.94,1730.7319,7083749.5,7077953.5,159920.16,494.19315,514.56006,509.99127,8.725858509,0.045007415,2.0942152,0.00016616,0.00020579,0.014632449,0.00449835,0.00506705,44.758762
17,8018.4585,6980453,3679358976,527.70081,0.45124444,0,0,158.5645,7240063,7240063,6974476.5,256033.14,9553.5957,6984030,6972434.5,259610.52,516.60889,534.29095,532.20245,7.889347189,0.045007415,2.0942152,0.00016616,0.00020579,0.020464288,0.88202459,0.430780151,44.758762
18,26785.506,6077666.5,2812269056,464.7702,0.038219836,0,0,8497.1943,7240063,7240063,6122250.5,1110882.5,6913.9756,6129164.5,6050881,1162380.5,454.14883,470.08023,470.08154,7.510442772,0.045007415,2.0942152,0.00016616,0.00020579,0.016269352,0.060170315,0.021950482,44.758762
19,63523.93,6710200,3477142528,523.14008,0.55284703,0,0,60978.656,7240063,7240063,6687056,533058,19949.326,6707005.5,6646676,529863.44,508.39059,531.40411,529.62561,10.45472376,0.045007415,2.0942152,0.00016616,0.00020579,0.30295068,0.80274343,0.249896375,44.758762
20,9171.0703,7189723.5,4283239168,596.50549,1.0488091,0,0,50377.594,7240063,7240063,7185193.5,49826.914,5042.8809,7190236.5,7180552.5,50339.852,571.258,610.63055,607.62799,17.89472061,0.045007415,2.0942152,0.00016616,0.00020579,0.83630967,1.2613084,0.212499365,44.758762
21,357997.91,6843905.5,3826973184,590.04437,1.6162392,0,0,236543.36,7240063,7240063,6596429,396329.22,247305.25,6843734,6485907.5,396157.78,567.64459,602.74359,599.74481,15.88625054,0.045007415,2.0942152,0.00016616,0.00020579,1.4666228,1.7658556,0.1496164,44.758762
22,362379.78,6547659.5,3906595584,631.59564,1.7623923,0,0,166053.72,7240063,7240063,6346687,677955.94,215420.39,6562107.5,6185280,692403.63,596.43536,651.33673,647.01477,24.92458956,0.045007415,2.0942152,0.00016616,0.00020579,1.663857,1.8609276,0.0985353,44.758762
23,98531.727,5635336.5,3060249856,552.71045,1.3978752,0,0,201174.77,7240063,7223205.5,5559566,1601056.6,62643.77,5622210,5536805,1587928.9,548.98065,557.53711,551.61365,3.578222326,0.045007415,2.0942152,0.00016616,0.00020579,1.4090352,1.3867152,0.01116,44.758762
24,713183.25,2951317.8,903081856,403.49756,1.5616896,0,0,609006.63,7240063,5089069,2511180,2111297.8,467445.66,2978625.8,2238134.5,2138596.5,409.46323,399.19162,401.83777,4.3545088,0.045007415,2.0942152,0.00016616,0.00020579,1.7059482,1.4174309,0.14425865,44.758762
25,1062176.6,2270927.8,374508576,309.83099,1.8779893,0,0,429714,7240063,2744026.8,1632480.4,467796.88,646607.75,2279088.3,1208751.1,475998.16,323.00681,300.36856,306.11765,9.607786914,0.045007415,2.0942152,0.00016616,0.00020579,2.0878842,1.6680944,0.2098949,44.758762
26,10958.065,82976.367,14714895,204.32161,1.5922933,0,0,369.84583,5430047.5,155559.48,69456.633,72388.313,14247.924,83704.555,72018.297,73139.922,217.20926,193.94629,201.80927,9.661791413,0.045007415,2.0942152,0.00016616,0.00020579,1.9591024,1.225484,0.3668092,44.758762
